id,cena,tip,po_izn,lokacija,grad,opstina,naselje,ulica,povrsina,stanje,sprat,godina,spratnost,uknjizenost,grejanje,sobnost,parking,garaza,useljivo,lift,infrastruktura,tipobjekata,namestenost,opremljenost,unutrasnje,tipobjekta,kupatila,plac,etaza,url,kombinovana-lokacija,rastojanje,trajanje
4151,159030.0,stan,prodaja,"Đeram, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Đeram,Šabačka,56.0,novo,4,,6.0,,etažno grejanje,2.0,ne,,,1.0,lođa,,prazno ,"telefon, kablovska, internet, interfon",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/djeram-zvezdara-opstina-beograd/dvoiposoban-stan/64c3e77a2fd816c9ca07c2c7,"Šabačka,Zvezdara opština",3.835,12.6
4152,85000.0,stan,prodaja,"Mirijevo, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Mirijevo,Radmile Savićević,39.0,uobičajeno stanje,3,,3.0,da,etažno grejanje,1.0,ne,,da,0,terasa,,namešteno ,"telefon, kablovska, internet, klima",,,,,,https://www.4zida.rs/prodaja-stanova/mirijevo-zvezdara-opstina-beograd/jednoiposoban-stan/64c3ecd72fd816c9ca07c430,"Radmile Savićević,Zvezdara opština",5.776,17.533333333333335
4153,182000.0,stan,prodaja,"Lipov Lad, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Lipov Lad,Vranjska,65.0,,13,1970.0,15.0,da,centralno grejanje,3.0,ne,,,1.0,terasa,,,telefon,,,,,,https://www.4zida.rs/prodaja-stanova/lipov-lad-zvezdara-opstina-beograd/trosoban-stan/63d8008da62c45e03a0091b2,"Vranjska,Zvezdara opština",3.759,12.383333333333333
4154,50000.0,stan,prodaja,"Mirijevo, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Mirijevo,Ljube Tadića,30.0,uobičajeno stanje,3,,3.0,,norveški radijatori,1.0,ne,,da,0,terasa,,polunamešteno ,,,,,,,https://www.4zida.rs/prodaja-stanova/mirijevo-zvezdara-opstina-beograd/jednoiposoban-stan/64c4422eca88b7521c07727d,"Ljube Tadića,Zvezdara opština",9.094,21.166666666666668
4155,170000.0,stan,prodaja,"Severni Bulevar, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Severni Bulevar,Ledinačka,80.0,,4,,4.0,da,grejanje na struju,4.0,da,,da,0,"podrum, lođa",,,klima,,,,,,https://www.4zida.rs/prodaja-stanova/severni-bulevar-zvezdara-opstina-beograd/cetvorosoban-stan/648c654d66d0e76230087cb6,"Ledinačka,Zvezdara opština",3.79,12.983333333333333
4156,75000.0,stan,prodaja,"Mirijevo, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Mirijevo,Bogdana Bogdanovića,39.0,novo,0,,6.0,da,centralno grejanje,1.0,da,,,0,terasa,,prazno ,"telefon, internet, interfon",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/mirijevo-zvezdara-opstina-beograd/jednoiposoban-stan/649ccb52c2df91fef005cf07,"Bogdana Bogdanovića,Zvezdara opština",11.341,18.35
4157,150000.0,stan,prodaja,"Severni Bulevar, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Severni Bulevar,Severni Bulevar,44.0,novo,3,,,,centralno grejanje,2.0,da,1 garažno mesto,,1.0,terasa,,prazno ,"interfon, klima",,,,,,https://www.4zida.rs/prodaja-stanova/severni-bulevar-zvezdara-opstina-beograd/dvosoban-stan/64c49684ed72915926042e97,"Severni Bulevar,Zvezdara opština",3.239,11.316666666666666
4158,112000.0,stan,prodaja,"Mirijevo III, Mirijevo, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Mirijevo,Matice srpske 36,54.0,renovirano,3,1980.0,8.0,da,centralno grejanje,2.0,ne,,da,2.0,"dvorište, podrum",,prazno ,"telefon, kablovska, kuhinjski elementi","kupatilo, kuhinja, ostava ",,1.0,,,https://www.4zida.rs/prodaja-stanova/mirijevo-iii-mirijevo-zvezdara-opstina-beograd/dvoiposoban-stan/649de1ee174ee74d2b032269,"Matice srpske 36,Zvezdara opština",9.319,21.233333333333334
4159,350000.0,stan,prodaja,"Gradska Bolnica, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Gradska Bolnica,Đevđelijska,157.0,uobičajeno stanje,5,,5.0,da,centralno grejanje,5.0,ne,,da,1.0,"terasa, lođa",,namešteno ,,,,,,,https://www.4zida.rs/prodaja-stanova/gradska-bolnica-zvezdara-opstina-beograd/petosoban-stan/64c4dbc383b26cf7df009f01,"Đevđelijska,Zvezdara opština",3.599,12.95
4160,190000.0,stan,prodaja,"Konjarnik, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Konjarnik,Ustanička,83.0,uobičajeno stanje,5,,5.0,da,centralno grejanje,4.0,ne,,,1.0,lođa,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/konjarnik-zvezdara-opstina-beograd/cetvorosoban-stan/6475cb1b52d109eabc03046b,"Ustanička,Zvezdara opština",8.615,16.316666666666666
4161,100000.0,stan,prodaja,"Zvezdarska Šuma, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Zvezdarska Šuma,Zvezdarska Šuma,51.0,uobičajeno stanje,3,,5.0,da,centralno grejanje,2.0,ne,,da,0,lođa,,prazno ,"telefon, interfon",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/zvezdarska-suma-zvezdara-opstina-beograd/dvosoban-stan/649d6be8a8caf2e1f30af071,"Zvezdarska Šuma,Zvezdara opština",5.435,16.25
4162,105000.0,stan,prodaja,"Mirijevo, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Mirijevo,Miodraga Mijovića Kanta,50.0,novo,2,,4.0,da,centralno grejanje,2.0,ne,,,0,terasa,,prazno ,"telefon, kablovska, internet, interfon",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/mirijevo-zvezdara-opstina-beograd/dvosoban-stan/649d73c13a9f05a9880092bd,"Miodraga Mijovića Kanta,Zvezdara opština",9.179,20.966666666666665
4163,155000.0,stan,prodaja,"Mirijevo III, Mirijevo, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Mirijevo,Meše Selimovića,105.0,renovirano,2,,2.0,da,,4.0,da,,,0,"podrum, terasa, lođa",,,"kablovska, interfon, TV, klima, Kanalizacija",,,,,,https://www.4zida.rs/prodaja-stanova/mirijevo-iii-mirijevo-zvezdara-opstina-beograd/cetvorosoban-stan/6426cc82dd48c2a1ea0c4269,"Meše Selimovića,Zvezdara opština",9.203,20.766666666666666
4164,205000.0,stan,prodaja,"Đeram, Zvezdara opština, Beograd",Beograd,Zvezdara opština,Đeram,Zahumska,66.0,,4,1980.0,6.0,da,centralno grejanje,2.0,ne,,,1.0,"podrum, terasa, lođa",,,telefon,,,,,,https://www.4zida.rs/prodaja-stanova/djeram-zvezdara-opstina-beograd/dvoiposoban-stan/6476033d1d2659589e059756,"Zahumska,Zvezdara opština",2.728,10.116666666666667
4165,84000.0,stan,prodaja,"Crveni Krst Vračar, Vračar, Beograd",Beograd,Vračar,Crveni Krst Vračar,Tome Maksimovića,30.0,održavano,7,2006.0,7.0,da,,1.0,ne,,,1.0,,,,"kablovska, interfon, TV, klima","kuhinja, ostava ",,,,,https://www.4zida.rs/prodaja-stanova/crveni-krst-vracar-vracar-beograd/jednosoban-stan/636c1621b5cec51c670c3002,"Tome Maksimovića,Vračar",4.102,15.033333333333333
4166,237000.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Vojvode Hrvoja,73.0,renovirano,3,2006.0,3.0,da,centralno grejanje,2.0,ne,,,0,terasa,,prazno ,klima,,,,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/dvosoban-stan/640b3f060774fd46e500a5eb,"Vojvode Hrvoja,Vračar",3.949,13.3
4167,516046.0,stan,prodaja,"Sportski centar Vračar (SC Vračar), Vračar, Beograd",Beograd,Vračar,Sportski centar Vračar (SC Vračar),Sportski centar Vračar (SC Vračar),136.0,u izgradnji,1,2023.0,5.0,,centralno grejanje,4.0,da,1 garažno mesto,,1.0,terasa,,prazno ,"interfon, klima, Kanalizacija",,,,,,https://www.4zida.rs/prodaja-stanova/sportski-centar-vracar-sc-vracar-vracar-beograd/cetvorosoban-stan/64332e6c91cc12acec0e0ef0,"Sportski centar Vračar (SC Vračar),Vračar",2.938,11.183333333333334
4168,250000.0,stan,prodaja,"Slavija, Vračar, Beograd",Beograd,Vračar,Slavija,Kralja Milutina,69.0,potrebno renoviranje,-1,1980.0,7.0,da,centralno grejanje,2.0,ne,,,1.0,"podrum, terasa",,prazno ,"kablovska, klima, ventilacija, kuhinjski elementi","kupatilo, toalet, kuhinja ",,1.0,,,https://www.4zida.rs/prodaja-stanova/slavija-vracar-beograd/dvoiposoban-stan/645b6f959b054122bd0fa847,"Kralja Milutina,Vračar",1.582,5.533333333333333
4169,2850.0,stan,prodaja,"Čubura, Vračar, Beograd",Beograd,Vračar,Čubura,VARDARSKA,69.0,novo,0,2020.0,4.0,da,centralno grejanje,3.0,ne,,da,1.0,,,,"telefon, interfon",,,,,,https://www.4zida.rs/prodaja-stanova/cubura-vracar-beograd/trosoban-stan/5fd37ffd75f88d696b56b69e,"VARDARSKA,Vračar",3.15,11.283333333333333
4170,355000.0,stan,prodaja,"Crveni Krst Vračar, Vračar, Beograd",Beograd,Vračar,Crveni Krst Vračar,Vojvode Šupljikca,121.0,novo,5,,5.0,da,centralno grejanje,4.0,da,1 garažno mesto,da,1.0,terasa,,prazno ,"telefon, kablovska, internet, interfon, klima",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/crveni-krst-vracar-vracar-beograd/cetvorosoban-stan/64341e413184ef78a10eb958,"Vojvode Šupljikca,Vračar",3.502,11.766666666666667
4171,128240.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Vojvode Hrvoja,37.0,,4,,5.0,,,2.0,ne,,,0,,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/dvosoban-stan/6434543b1130d675c70485f0,"Vojvode Hrvoja,Vračar",3.949,13.3
4172,145000.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Vojvode Hrvoja,45.0,,3,,5.0,,,2.0,ne,,,0,terasa,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/dvosoban-stan/6434543b1130d675c70485f3,"Vojvode Hrvoja,Vračar",3.949,13.3
4173,140840.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Vojvode Hrvoja,40.0,,3,,5.0,,,2.0,ne,,,0,terasa,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/dvosoban-stan/6434543c1130d675c70485f6,"Vojvode Hrvoja,Vračar",3.949,13.3
4174,128240.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Vojvode Hrvoja,37.0,,1,,5.0,,,2.0,ne,,,0,,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/dvosoban-stan/6434543c1130d675c70485f9,"Vojvode Hrvoja,Vračar",3.949,13.3
4175,650000.0,stan,prodaja,"Istočni Vračar, Vračar, Beograd",Beograd,Vračar,Istočni Vračar,Kumanovska,167.0,uobičajeno stanje,6,,6.0,da,centralno grejanje,6.0,ne,1 garažno mesto,,1.0,"terasa, lođa",,prazno ,"kablovska, internet, interfon",kupatila (4) ,,4.0,,,https://www.4zida.rs/prodaja-stanova/istocni-vracar-vracar-beograd/sestosoban-stan/64346caf5c72b748c1038edb,"Kumanovska,Vračar",2.405,8.233333333333333
4176,250000.0,stan,prodaja,"Crveni Krst Vračar, Vračar, Beograd",Beograd,Vračar,Crveni Krst Vračar,Beogradsko dramsko pozorište,79.0,novo,5,,5.0,da,centralno grejanje,3.0,ne,,da,1.0,terasa,,namešteno ,"kablovska, klima","kupatilo, toalet, kuhinja ",,1.0,,,https://www.4zida.rs/prodaja-stanova/crveni-krst-vracar-vracar-beograd/trosoban-stan/639703f57b2177227507d3fb,"Beogradsko dramsko pozorište,Vračar",3.476,12.166666666666666
4177,320000.0,stan,prodaja,"Kalenić, Vračar, Beograd",Beograd,Vračar,Kalenić,Kursulina,85.0,,3,,4.0,da,centralno grejanje,4.0,ne,,da,0,,,prazno ,interfon,,,,,,https://www.4zida.rs/prodaja-stanova/kalenic-vracar-beograd/cetvorosoban-stan/63c00c11163eac5c76065d16,"Kursulina,Vračar",2.394,8.2
4178,380000.0,stan,prodaja,"Hram Svetog Save, Neimar, Vračar, Beograd",Beograd,Vračar,Neimar,Kataniceva,110.0,,3,1993.0,6.0,da,centralno grejanje,4.0,ne,,,1.0,terasa,,,"telefon, interfon",,,,,,https://www.4zida.rs/prodaja-stanova/hram-svetog-save-neimar-vracar-beograd/cetvorosoban-stan/609ce11cd355224aaa3f66ef,"Kataniceva,Vračar",2.301,8.15
4179,230000.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Mlade Bosne,85.0,,1,,2.0,da,etažno grejanje,3.0,ne,,da,0,terasa,,,telefon,,,,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/troiposoban-stan/6347dad518ea00c10703cae4,"Mlade Bosne,Vračar",3.66,13.65
4180,310000.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Politova,90.0,,3,,5.0,,centralno grejanje,3.0,ne,,,0,,,prazno ,,,,,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/trosoban-stan/640f262ebaba50b001053b44,"Politova,Vračar",3.657,12.083333333333334
4181,225000.0,stan,prodaja,"Blok 70, Novi Beograd, Beograd",Beograd,Novi Beograd,Blok 70,Jurija Gagarina,96.0,,10,1974.0,15.0,da,centralno grejanje,3.0,ne,,da,1.0,terasa,,,telefon,,,,,,https://www.4zida.rs/prodaja-stanova/blok-70-novi-beograd-beograd/troiposoban-stan/6480658f2f4ec57b2d0ef365,"Jurija Gagarina,Novi Beograd",8.759,19.583333333333332
4182,395000.0,stan,prodaja,"Tošin Bunar, Novi Beograd, Beograd",Beograd,Novi Beograd,Tošin Bunar,Svetozara Miletića-Zemun,140.0,,2,,3.0,da,grejanje na struju,4.0,ne,,da,0,terasa,,,telefon,,,,,,https://www.4zida.rs/prodaja-stanova/tosin-bunar-novi-beograd-beograd/cetvorosoban-stan/648065942f4ec57b2d0ef38c,"Svetozara Miletića-Zemun,Novi Beograd",6.957,16.116666666666667
4183,103000.0,stan,prodaja,"Bežanijska kosa, Novi Beograd, Beograd",Beograd,Novi Beograd,Bežanijska kosa,Pere Segedinca,50.0,,4,1965.0,4.0,da,etažno grejanje,2.0,ne,,da,0,podrum,,,telefon,,,,,,https://www.4zida.rs/prodaja-stanova/bezanijska-kosa-novi-beograd-beograd/dvoiposoban-stan/648065992f4ec57b2d0ef3b3,"Pere Segedinca,Novi Beograd",8.88,19.416666666666668
4184,169000.0,stan,prodaja,"Blok 33 - Geneks, Novi Beograd, Beograd",Beograd,Novi Beograd,Blok 33 - Geneks,Omladinskih brigada,65.0,,4,,4.0,da,centralno grejanje,2.0,ne,,da,0,"podrum, terasa",,,,,,,,,https://www.4zida.rs/prodaja-stanova/blok-33-geneks-novi-beograd-beograd/dvoiposoban-stan/6480659c2f4ec57b2d0ef3d4,"Omladinskih brigada,Novi Beograd",5.832,13.216666666666667
4185,92900.0,stan,prodaja,"Blok 2, Novi Beograd, Beograd",Beograd,Novi Beograd,Blok 2,Bulevar Zorana Đinđića,38.0,,-1,,8.0,da,centralno grejanje,1.0,ne,,da,1.0,podrum,,,,,,,,,https://www.4zida.rs/prodaja-stanova/blok-2-novi-beograd-beograd/jednoiposoban-stan/648065a32f4ec57b2d0ef410,"Bulevar Zorana Đinđića,Novi Beograd",4.166,9.516666666666667
4186,295000.0,stan,prodaja,"A Blok - Blok 67a, Novi Beograd, Beograd",Beograd,Novi Beograd,A Blok - Blok 67a,Jurija Gagarina,71.0,novo,9,2019.0,12.0,da,centralno grejanje,2.0,ne,,,1.0,lođa,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/a-blok-blok-67a-novi-beograd-beograd/dvosoban-stan/64a7ffe701a08c0f8b04bbb2,"Jurija Gagarina,Novi Beograd",8.759,19.583333333333332
4187,103000.0,stan,prodaja,"Bežanijska kosa, Novi Beograd, Beograd",Beograd,Novi Beograd,Bežanijska kosa,Pere Segedinca,50.0,održavano,-1,,-1.0,da,,2.0,da,,da,0,podrum,,,,kuhinja ,,,,,https://www.4zida.rs/prodaja-stanova/bezanijska-kosa-novi-beograd-beograd/dvoiposoban-stan/643166a25e36f71852091fd1,"Pere Segedinca,Novi Beograd",8.88,19.416666666666668
4188,250000.0,stan,prodaja,"Blok 70, Novi Beograd, Beograd",Beograd,Novi Beograd,Blok 70,Jurija Gagarina,95.0,uobičajeno stanje,12,1974.0,15.0,da,centralno grejanje,3.0,ne,,da,1.0,terasa,,prazno ,"telefon, kablovska, internet, interfon, klima",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/blok-70-novi-beograd-beograd/trosoban-stan/64a81408013536231f0e9c51,"Jurija Gagarina,Novi Beograd",8.759,19.583333333333332
4189,159000.0,stan,prodaja,"Hotel YU, Novi Beograd, Beograd",Beograd,Novi Beograd,Hotel YU,Aleksinačkih rudara,62.0,,5,2000.0,5.0,da,centralno grejanje,2.0,da,,,0,terasa,,polunamešteno ,"telefon, kablovska, internet, interfon, klima, kuhinjski elementi, sudo mašina, rerna, šporet, plakar, ugradni plakar","kupatilo, kuhinja ",,1.0,,,https://www.4zida.rs/prodaja-stanova/hotel-yu-novi-beograd-beograd/dvoiposoban-stan/64cfa7cc8a73f84bfb0aade9,"Aleksinačkih rudara,Novi Beograd",4.736,9.816666666666666
4190,264000.0,stan,prodaja,"Blok 30, Novi Beograd, Beograd",Beograd,Novi Beograd,Blok 30,Bulevar umetnosti,92.0,,3,,17.0,,centralno grejanje,3.0,da,1 garažno mesto,,1.0,"podrum, lođa",,prazno ,interfon,,,,,,https://www.4zida.rs/prodaja-stanova/blok-30-novi-beograd-beograd/troiposoban-stan/64a820bfacaaa118dc03699a,"Bulevar umetnosti,Novi Beograd",4.716,10.983333333333333
4191,365000.0,stan,prodaja,"Blok 65 - WEST 65, Novi Beograd, Beograd",Beograd,Novi Beograd,Blok 65 - WEST 65,Omladinskih brigada,58.0,,31,,40.0,da,,2.0,ne,,,1.0,,,,"kablovska, interfon, TV, klima",,,,,,https://www.4zida.rs/prodaja-stanova/blok-65-west-65-novi-beograd-beograd/dvosoban-stan/64590fadb295e8cd950ae229,"Omladinskih brigada,Novi Beograd",5.832,13.216666666666667
4192,115000.0,stan,prodaja,"Studentski Grad, Blok 34, Novi Beograd, Beograd",Beograd,Novi Beograd,Blok 34,Bulevar Zorana Đinđića,33.0,,7,2016.0,7.0,da,centralno grejanje,1.0,da,,,1.0,,,namešteno ,"kablovska, interfon, klima, Kanalizacija",,,,,,https://www.4zida.rs/prodaja-stanova/studentski-grad-blok-34-novi-beograd-beograd/jednosoban-stan/64590fd3b295e8cd950ae236,"Bulevar Zorana Đinđića,Novi Beograd",4.166,9.516666666666667
4193,295000.0,stan,prodaja,"A Blok - Blok 67a, Novi Beograd, Beograd",Beograd,Novi Beograd,A Blok - Blok 67a,Jurija Gagarina,71.0,novo,9,,11.0,da,centralno grejanje,2.0,ne,,da,0,terasa,,namešteno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/a-blok-blok-67a-novi-beograd-beograd/dvosoban-stan/64cfbbdd12bff539d30e1f62,"Jurija Gagarina,Novi Beograd",8.759,19.583333333333332
